create_at,url,short_url,title,meta_description,lang,content_type,is_available,failed
2025-09-19 22:10:55.240546,https://x.gd/view/notfound,https://x.gd/69gG0,,,,,False,
2025-09-19 22:10:56.621888,https://x.gd/view/notfound,https://x.gd/pLLER,,,,,False,
2025-09-19 22:10:57.266722,https://x.gd/view/notfound,https://x.gd/pVcMH,,,,,False,
2025-09-19 22:10:59.282566,https://x.gd/view/notfound,https://x.gd/Dp4sB,,,,,False,
2025-09-19 22:11:00.624117,https://x.gd/view/notfound,https://x.gd/48xR1,,,,,False,
2025-09-19 22:11:01.749577,https://x.gd/view/notfound,https://x.gd/83vMC,,,,,False,
2025-09-19 22:11:02.887660,https://x.gd/view/notfound,https://x.gd/6GNRC,,,,,False,
2025-09-19 22:11:04.284280,https://x.gd/view/notfound,https://x.gd/lNzdO,,,,,False,
2025-09-19 22:11:05.434268,https://x.gd/view/notfound,https://x.gd/mSbz0,,,,,False,
2025-09-19 22:11:06.350687,https://x.gd/view/notfound,https://x.gd/yqzzH,,,,,False,
2025-09-19 22:11:08.277981,https://x.gd/view/notfound,https://x.gd/lMUk0,,,,,False,
2025-09-19 22:11:10.710342,https://x.gd/view/notfound,https://x.gd/tqq6m,,,,,False,
2025-09-19 22:11:12.005453,https://x.gd/view/notfound,https://x.gd/mUA40,,,,,False,
2025-09-19 22:11:13.392168,https://x.gd/view/notfound,https://x.gd/EA0Wt,,,,,False,
2025-09-19 22:11:14.552479,https://x.gd/view/notfound,https://x.gd/V66BI,,,,,False,
2025-09-19 22:11:15.616720,https://x.gd/view/notfound,https://x.gd/ty7vD,,,,,False,
2025-09-19 22:11:16.800988,https://x.gd/view/notfound,https://x.gd/BpRbi,,,,,False,
2025-09-19 22:11:18.177105,https://x.gd/view/notfound,https://x.gd/9b39c,,,,,False,
2025-09-19 22:11:19.362976,https://x.gd/view/notfound,https://x.gd/qdQKV,,,,,False,
2025-09-19 22:11:20.371097,https://x.gd/view/notfound,https://x.gd/9UVvj,,,,,False,
2025-09-19 22:11:21.788764,https://x.gd/view/notfound,https://x.gd/T8Otp,,,,,False,
2025-09-19 22:11:23.083018,https://x.gd/view/notfound,https://x.gd/TRvIe,,,,,False,
2025-09-19 22:11:24.292156,https://x.gd/view/notfound,https://x.gd/Yymxx,,,,,False,
2025-09-19 22:11:25.681778,https://x.gd/view/notfound,https://x.gd/Q2CtZ,,,,,False,
